,module,kME,kIN,rename
Carnitine C10:1,black,0.853579793744346,0.887958774558617,M1-Carnitine C10:1
Decanoylcarnitine(C10),midnightblue,0.936866732398081,1.08898868108514,M20-Decanoylcarnitine(C10)
17-Hydroxyprogesterone,black,0.381760842287882,0.0221035641976148,M1-17-Hydroxyprogesterone
FFA C22_1,darkturquoise,0.954205490832558,0.802596124627007,M11-FFA C22_1
carnitine C12:2,black,0.890855760744275,1.03017555492788,M1-carnitine C12:2
fatty amide C22_0,darkturquoise,0.941765255325275,0.766038540633552,M11-fatty amide C22_0
Carnitine C12:1,pink,0.922124656450827,1.28336513318542,M23-Carnitine C12:1
Carnitine C12:0,pink,0.937078738196517,1.45296483296019,M23-Carnitine C12:0
Cortisone,grey,-0.612335745644417,0.126621456090525,M14-Cortisone
Hydrocortisone,grey,-0.591025449570117,0.125536846152711,M14-Hydrocortisone
carnitine C14:3,pink,0.768057573484524,0.433882111855222,M23-carnitine C14:3
Tetradecadiencarnitine C14:2,black,0.869065769248729,0.884740209374739,M1-Tetradecadiencarnitine C14:2
Tetradecenoylcarnitine C14:1,pink,0.949715849147922,1.40857441298392,M23-Tetradecenoylcarnitine C14:1
Tetradecanoylcarnitine C14,pink,0.811461837208589,0.612622364224738,M23-Tetradecanoylcarnitine C14
Sphingosine-1-phosphate,grey,-0.206740197859768,0.00407695895334648,M14-Sphingosine-1-phosphate
Hexadecadienoylcarnitine C16:2,black,0.844183795843251,0.529601554187396,M1-Hexadecadienoylcarnitine C16:2
Hexadecenoylcarnitine C16:1,pink,0.781442773168905,0.414275530788138,M23-Hexadecenoylcarnitine C16:1
Palmitoylcarnitine C16,darkolivegreen,0.872052803818855,0.151424551451665,M8-Palmitoylcarnitine C16
linolenyl carnitine C18:3,black,0.703209932590109,0.26671302641971,M1-linolenyl carnitine C18:3
Linoleyl carnitine C18:2,black,0.769416962246702,0.338796416357801,M1-Linoleyl carnitine C18:2
Oleoylcarnitine C18:1,darkolivegreen,0.893599960721366,0.187410997940088,M8-Oleoylcarnitine C18:1
Stearoylcarnitine C18,darkolivegreen,0.826700422540152,0.12307055931223,M8-Stearoylcarnitine C18
LPE 16_1,darkorange,0.897174425132735,0.474609584837989,M9-LPE 16_1
LPE 16_0,salmon,0.887373176175448,0.591100897634663,M28-LPE 16_0
LPC 14_0 sn-2,lightcyan,0.886132417181759,1.02438773954345,M16-LPC 14_0 sn-2
LPC 14_0 sn-1,lightcyan,0.908616728503242,1.0599087068091,M16-LPC 14_0 sn-1
LPE 18_3sn-1,salmon,0.813533945663435,0.380441941843352,M28-LPE 18_3sn-1
LPE 18_2 sn-2,magenta,0.908380667669368,0.94556865301846,M19-LPE 18_2 sn-2
LPE 18_2 sn-1,magenta,0.880652198181942,0.911138625255864,M19-LPE 18_2 sn-1
LPE 18_1 sn-2,magenta,0.834537428122254,0.637286264869591,M19-LPE 18_1 sn-2
LPE 18_1 sn-1,magenta,0.783941409896139,0.604820016424689,M19-LPE 18_1 sn-1
LPC O-16_1,skyblue,0.929164400848215,0.439539083081721,M30-LPC O-16_1
LPC 15_0 sn-2,violet,0.73344584960546,0.112162033013995,M33-LPC 15_0 sn-2
LPE 18_0 sn-2,salmon,0.805362977801954,0.620889419048875,M28-LPE 18_0 sn-2
LPC 15_0 sn-1,violet,0.917788331954308,0.246258836199105,M33-LPC 15_0 sn-1
LPE 18_0 sn-1,salmon,0.82079727841619,0.667041552835368,M28-LPE 18_0 sn-1
LPC O-16_0,white,0.932640819772927,0.421360516967386,M34-LPC O-16_0
LPC 16_1 sn-2,greenyellow,0.783189517945419,0.604731723280295,M13-LPC 16_1 sn-2
LPC 16_1 sn-1,greenyellow,0.86364842187335,0.772345540985675,M13-LPC 16_1 sn-1
LPC 16_0 sn-1,greenyellow,0.915337694148032,0.880268689487592,M13-LPC 16_0 sn-1
LPC 16_0 sn-2,greenyellow,0.887012421047807,0.799929371042275,M13-LPC 16_0 sn-2
LPE 20_5 sn-1,green,0.832489724904202,0.726540658565864,M12-LPE 20_5 sn-1
LPE 20_4 sn-2,saddlebrown,0.84605229225375,0.358930962313882,M27-LPE 20_4 sn-2
LPE 20_4 sn-1,saddlebrown,0.936639964323383,0.463174597772976,M27-LPE 20_4 sn-1
LPE 20_3,paleturquoise,0.830232369040513,0.212316623783342,M22-LPE 20_3
