,module,kME,kIN,rename,HbA1C_estimate,HbA1C_p.value,HbA1C_p.adjust,HbA1C.adj.partial_estimate,HbA1C.adj.partial_p.value,HbA1C.adj.partial_p.adjust
LPE 18_2 sn-1,magenta,0.880652198181942,0.911138625255864,M19-LPE 18_2 sn-1,0.110698785219863,0.02742006623354,0.190961175555011,0.116450457191259,0.020777546382042,0.20258107722491
LPE 18_1 sn-2,magenta,0.834537428122254,0.637286264869591,M19-LPE 18_1 sn-2,0.0413166087370494,0.411656280651082,0.666727338255337,0.0518901323611198,0.304227684171918,0.636704032204671
LPE 18_1 sn-1,magenta,0.783941409896139,0.604820016424689,M19-LPE 18_1 sn-1,0.0363415409803792,0.470260417610318,0.707296489944997,0.0496502065826308,0.325605673922596,0.647888840968431
LPC O-16_1,skyblue,0.929164400848215,0.439539083081721,M30-LPC O-16_1,-0.102434714750146,0.0413572612868573,0.212228051340452,-0.0802856512359729,0.111580149815937,0.483513982535726
LPC 15_0 sn-2,violet,0.73344584960546,0.112162033013995,M33-LPC 15_0 sn-2,-0.132083158247082,0.00841387974467536,0.102544159388231,-0.114975444450524,0.0224586223884284,0.208544350749692
LPE 18_0 sn-2,salmon,0.805362977801954,0.620889419048875,M28-LPE 18_0 sn-2,0.00111204460747891,0.982378179571279,0.992558264333675,0.0254565812358595,0.614419562116285,0.809539287923484
LPC 15_0 sn-1,violet,0.917788331954308,0.246258836199105,M33-LPC 15_0 sn-1,-0.161373078946528,0.00125371952136325,0.0611188266664583,-0.138777991795109,0.00579295897466863,0.118588336379794
LPE 18_0 sn-1,salmon,0.82079727841619,0.667041552835368,M28-LPE 18_0 sn-1,0.0325418712572505,0.517943335034462,0.730717004812979,0.0517391233938757,0.30563904502809,0.636704032204671
LPC O-16_0,white,0.932640819772927,0.421360516967386,M34-LPC O-16_0,-0.0905699619091595,0.0714495142528891,0.284339903659457,-0.0758170398490552,0.133017902227111,0.485662327164281
LPC 16_1 sn-2,greenyellow,0.783189517945419,0.604731723280295,M13-LPC 16_1 sn-2,-0.0868243345782631,0.0840291486930535,0.309163848965008,-0.0773484140245651,0.125339652932973,0.485662327164281
LPC 16_1 sn-1,greenyellow,0.86364842187335,0.772345540985675,M13-LPC 16_1 sn-1,-0.0416350076980341,0.408058744439354,0.666727338255337,-0.027800330965566,0.582200103684263,0.799741138741765
LPC 16_0 sn-1,greenyellow,0.915337694148032,0.880268689487592,M13-LPC 16_0 sn-1,0.00934395841396802,0.85276311723571,0.943565782480958,0.0126499850934935,0.802349739418133,0.895959911884049
LPC 16_0 sn-2,greenyellow,0.887012421047807,0.799929371042275,M13-LPC 16_0 sn-2,-0.0568523086582094,0.25842708818625,0.527594152354087,-0.0557950511011546,0.269227975140344,0.617640648851377
LPE 20_5 sn-1,green,0.832489724904202,0.726540658565864,M12-LPE 20_5 sn-1,-0.0331816448704441,0.509743944747574,0.730717004812979,-0.0155036140907801,0.759011869130728,0.870631261649952
LPE 20_4 sn-2,saddlebrown,0.84605229225375,0.358930962313882,M27-LPE 20_4 sn-2,0.0227939867571132,0.650697278409628,0.844026465772319,0.0372402252513249,0.461058813443855,0.743590099022837
LPE 20_4 sn-1,saddlebrown,0.936639964323383,0.463174597772976,M27-LPE 20_4 sn-1,0.03431490327665,0.495387864771441,0.726320553612263,0.0408514151488391,0.418722997104907,0.70100466089401
LPE 20_3,paleturquoise,0.830232369040513,0.212316623783342,M22-LPE 20_3,0.0540138831905227,0.282997793876238,0.564894628772636,0.0696640070856711,0.167563632114641,0.536239245738323
LPC P-18_1,skyblue,0.897273043228968,0.346169704200207,M30-LPC P-18_1,-0.0805723113262721,0.108948597348122,0.354082941381398,-0.0534346352338008,0.290040245359219,0.632645071916724
LPC O-18_1,white,0.863299311635184,0.239796255893222,M34-LPC O-18_1,-0.109524635056835,0.0291132442452413,0.193934661382409,-0.0905231959945539,0.0726837120269199,0.393703440145816
LPC P-18_0,skyblue,0.925702749015288,0.421640782826845,M30-LPC P-18_0,-0.0941178497587088,0.0609949010854192,0.26014856050336,-0.0638088235429523,0.206289955634647,0.565759877896923
LPC 17_0,violet,0.856265688548504,0.166977330458739,M33-LPC 17_0,-0.132940157319639,0.00799588630491277,0.102544159388231,-0.107331717891601,0.0331831022515535,0.244566287369158
LPC O-18_0,white,0.912827738563953,0.363265279634555,M34-LPC O-18_0,-0.0929943823365307,0.0641594281346263,0.266193372047918,-0.0733826745923555,0.145963662283579,0.499349370970138
LPC 18_3 sn-1,blue,0.885937586290661,1.76027988336487,M2-LPC 18_3 sn-1,-0.017369109675398,0.730085468089735,0.878806581959866,-0.0116910385725358,0.817057598043635,0.895959911884049
LPC 18_3 sn-2,blue,0.727189481348293,0.772288104480755,M2-LPC 18_3 sn-2,-0.0423134652971416,0.400455486939554,0.666727338255337,-0.0459264094302194,0.363246349647236,0.672709091944359
LPC 18_2 sn-1,magenta,0.777932262348661,0.812585099153472,M19-LPC 18_2 sn-1,0.0101506587058327,0.840215447927415,0.943565782480958,0.0273736317752524,0.58800710400081,0.799741138741765
LPC 18_2 sn-2,magenta,0.769114719958748,0.773605856527229,M19-LPC 18_2 sn-2,-0.0237170269768385,0.637544598396085,0.844026465772319,-0.00844371225849512,0.86731232051411,0.929263200550833
LPC 18_1 sn-2,tan,0.855088778469809,0.722566491764087,M32-LPC 18_1 sn-2,-0.0944542948471174,0.0600726762012277,0.26014856050336,-0.0687460359340811,0.173246525546227,0.536239245738323
LPC 18_1 sn-1,tan,0.886928923301938,0.735228339802966,M32-LPC 18_1 sn-1,-0.0731878935784305,0.145499635093737,0.406692946057461,-0.0444992081666791,0.378364314537294,0.686542061939877
LPC 18_0 sn-2,greenyellow,0.724175783569269,0.65509279260427,M13-LPC 18_0 sn-2,-0.104059538148574,0.0382222599954305,0.212228051340452,-0.0909420943422648,0.0713643921418557,0.393703440145816
LPC 18_0 sn-1,greenyellow,0.773227392501665,0.738867602946691,M13-LPC 18_0 sn-1,-0.0772096842529364,0.124578949996332,0.383086153868421,-0.0607312080198438,0.229069040885671,0.572672602214176
