	species	species_pct	genus	genus_pct	family	family_pct	order	order_pct	phylum	phylum_pct
T2DCAG00465	Lactobacillus acidophilus	95	Lactobacillus	99	Lactobacillaceae	99	Lactobacillales	99	Firmicutes	99
T2DCAG00466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00468	Ruminococcus bromii	100	Ruminococcus	100	Ruminococcaceae	100	Clostridiales	100	Firmicutes	100
T2DCAG00469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00470	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	70
T2DCAG00471	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	78
T2DCAG00472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00474	NA	NA	NA	NA	NA	NA	Bacteroidales	76	Bacteroidetes	76
T2DCAG00475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00477	NA	NA	Clostridium	74	Clostridiaceae	74	Clostridiales	87	Firmicutes	87
T2DCAG00478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00479	Megasphaera elsdenii	71	Megasphaera	74	Veillonellaceae	78	Selenomonadales	79	Firmicutes	84
T2DCAG00480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00486	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	70
T2DCAG00487	Coprococcus eutactus	99	Coprococcus	100	Lachnospiraceae	100	Clostridiales	100	Firmicutes	100
T2DCAG00488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00489	NA	NA	NA	NA	NA	NA	Clostridiales	73	Firmicutes	78
T2DCAG00490	Catenibacterium mitsuokai	99	Catenibacterium	99	Erysipelotrichaceae	99	Erysipelotrichales	99	Firmicutes	100
T2DCAG00491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00492	NA	NA	NA	NA	NA	NA	Clostridiales	71	Firmicutes	73
T2DCAG00493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00498	Subdoligranulum variabile	74	Subdoligranulum	75	Ruminococcaceae	86	Clostridiales	90	Firmicutes	91
T2DCAG00499	NA	NA	NA	NA	NA	NA	Clostridiales	73	Firmicutes	75
T2DCAG00500	NA	NA	Ruminococcus	70	Ruminococcaceae	70	Clostridiales	81	Firmicutes	82
T2DCAG00501	Bacteroides eggerthii	75	Bacteroides	94	Bacteroidaceae	94	Bacteroidales	94	Bacteroidetes	94
T2DCAG00502	Bifidobacterium bifidum	100	Bifidobacterium	100	Bifidobacteriaceae	100	Bifidobacteriales	100	Actinobacteria	100
T2DCAG00503	Lactobacillus mucosae	89	Lactobacillus	98	Lactobacillaceae	98	Lactobacillales	98	Firmicutes	98
T2DCAG00504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00505	NA	NA	NA	NA	NA	NA	Clostridiales	79	Firmicutes	80
T2DCAG00506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00508	Faecalibacterium prausnitzii	98	Faecalibacterium	98	Ruminococcaceae	98	Clostridiales	99	Firmicutes	99
T2DCAG00509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00511	NA	NA	NA	NA	NA	NA	Clostridiales	81	Firmicutes	86
T2DCAG00512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00515	Mitsuokella multacida	99	Mitsuokella	99	Veillonellaceae	100	Selenomonadales	100	Firmicutes	100
T2DCAG00516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00517	Parasutterella excrementihominis	99	Parasutterella	99	Sutterellaceae	99	Burkholderiales	99	Proteobacteria	99
T2DCAG00518	Clostridium sp._SS2/1	78	Clostridium	81	Clostridiaceae	81	Clostridiales	89	Firmicutes	91
T2DCAG00519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00520	NA	NA	NA	NA	NA	NA	Clostridiales	72	Firmicutes	73
T2DCAG00521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00525	Bacteroides salanitronis	98	Bacteroides	99	Bacteroidaceae	99	Bacteroidales	100	Bacteroidetes	100
T2DCAG00526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00531	Faecalibacterium prausnitzii	95	Faecalibacterium	95	Ruminococcaceae	96	Clostridiales	97	Firmicutes	97
T2DCAG00532	Bacteroides intestinalis	100	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00533	Ruminococcus champanellensis	100	Ruminococcus	100	Ruminococcaceae	100	Clostridiales	100	Firmicutes	100
T2DCAG00534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00538	NA	NA	NA	NA	NA	NA	Clostridiales	75	Firmicutes	76
T2DCAG00539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00542	butyrate-producing bacterium	92	Clostridium	93	Clostridiaceae	93	Clostridiales	97	Firmicutes	97
T2DCAG00543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00545	Eubacterium cylindroides	85	Eubacterium	93	Eubacteriaceae	93	Clostridiales	94	Firmicutes	95
T2DCAG00546	Coprococcus eutactus	86	Coprococcus	90	Lachnospiraceae	90	Clostridiales	92	Firmicutes	92
T2DCAG00547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00553	NA	NA	NA	NA	NA	NA	Clostridiales	79	Firmicutes	82
T2DCAG00554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
