,module,kME,kIN,rename,HOMAIR_estimate,HOMAIR_p.value,HOMAIR_p.adjust,HOMAIR.adj.partial_estimate,HOMAIR.adj.partial_p.value,HOMAIR.adj.partial_p.adjust
LPE 16_1,darkorange,0.897174425132735,0.474609584837989,M9-LPE 16_1,0.198301343607703,8.22662347873201e-05,0.000763900751596544,0.133098154891984,0.00884102055616627,0.0638518151278675
LPE 16_0,salmon,0.887373176175448,0.591100897634663,M28-LPE 16_0,-0.0139379993017379,0.784062363690493,0.951646206828529,0.00157801436326214,0.975347269158549,0.975347269158549
LPC 14_0 sn-2,lightcyan,0.886132417181759,1.02438773954345,M16-LPC 14_0 sn-2,0.22110992401091,1.07489157296528e-05,0.000123296386310723,0.22449970545635,8.45259301557524e-06,0.000235465091148167
LPC 14_0 sn-1,lightcyan,0.908616728503242,1.0599087068091,M16-LPC 14_0 sn-1,0.234668432666962,2.88294674219541e-06,8.03106592468721e-05,0.236478841348753,2.62977525970032e-06,0.00012820154391039
LPE 18_3sn-1,salmon,0.813533945663435,0.380441941843352,M28-LPE 18_3sn-1,-0.032703062535003,0.520158214012245,0.852360098591494,-0.00185335585597445,0.971047452889632,0.975347269158549
LPE 18_2 sn-2,magenta,0.908380667669368,0.94556865301846,M19-LPE 18_2 sn-2,-0.0236861079263615,0.641412336888039,0.935870614238726,-0.0189192854001262,0.710985658946352,0.866513771840867
LPE 18_2 sn-1,magenta,0.880652198181942,0.911138625255864,M19-LPE 18_2 sn-1,0.0183177881988124,0.718734350271063,0.951646206828529,0.0231956122112572,0.649609593359467,0.844492471367307
LPE 18_1 sn-2,magenta,0.834537428122254,0.637286264869591,M19-LPE 18_1 sn-2,0.00354497063541375,0.944438041769366,0.96499364386115,0.0479019773696806,0.347930396432327,0.616785702766399
LPE 18_1 sn-1,magenta,0.783941409896139,0.604820016424689,M19-LPE 18_1 sn-1,0.033923793121285,0.504695081706421,0.834030007904679,0.101678682118408,0.0458939900624199,0.187119345606212
LPC O-16_1,skyblue,0.929164400848215,0.439539083081721,M30-LPC O-16_1,-0.228266630356388,5.42059401832294e-06,8.72784279660953e-05,-0.144152233619129,0.00454266751927181,0.0466221140135791
LPC 15_0 sn-2,violet,0.73344584960546,0.112162033013995,M33-LPC 15_0 sn-2,0.00160144440890751,0.974883715398968,0.976895822421711,0.0462627521087868,0.364694281630538,0.640205806860915
LPE 18_0 sn-2,salmon,0.805362977801954,0.620889419048875,M28-LPE 18_0 sn-2,-0.00359991166630937,0.943578345947841,0.96499364386115,0.0199125070027271,0.696545000023069,0.865135509582792
LPC 15_0 sn-1,violet,0.917788331954308,0.246258836199105,M33-LPC 15_0 sn-1,-0.0221198298544836,0.663620148379491,0.944568824335771,0.0554400094347415,0.27724606437089,0.540916824764459
LPE 18_0 sn-1,salmon,0.82079727841619,0.667041552835368,M28-LPE 18_0 sn-1,0.0663289101399468,0.191743546247502,0.429770017451297,0.0755668051168425,0.138351795687508,0.350371430637197
LPC O-16_0,white,0.932640819772927,0.421360516967386,M34-LPC O-16_0,-0.109809792420367,0.0303593627385492,0.11384761026956,-0.0641529109049037,0.20853182467813,0.441996802306906
LPC 16_1 sn-2,greenyellow,0.783189517945419,0.604731723280295,M13-LPC 16_1 sn-2,-0.015835350598753,0.755544925846445,0.951646206828529,-0.0156377821836898,0.759409747468254,0.886735932672512
LPC 16_1 sn-1,greenyellow,0.86364842187335,0.772345540985675,M13-LPC 16_1 sn-1,-0.00564893690390461,0.911571312538598,0.951646206828529,0.00482623725538841,0.924701220990491,0.967538413362924
LPC 16_0 sn-1,greenyellow,0.915337694148032,0.880268689487592,M13-LPC 16_0 sn-1,-0.0571953459963431,0.260436637546682,0.54026749278301,-0.0437595175871063,0.391245636641394,0.663416514304972
LPC 16_0 sn-2,greenyellow,0.887012421047807,0.799929371042275,M13-LPC 16_0 sn-2,-0.0611356066462527,0.228965546418365,0.490640456610782,-0.0418738591996196,0.411998061352601,0.674518880252773
LPE 20_5 sn-1,green,0.832489724904202,0.726540658565864,M12-LPE 20_5 sn-1,0.0652028738351157,0.199411844436732,0.432229884655654,0.137498615920885,0.00681976294625779,0.0578197293269682
LPE 20_4 sn-2,saddlebrown,0.84605229225375,0.358930962313882,M27-LPE 20_4 sn-2,-0.129336894887353,0.0106662656854373,0.0481413079072616,-0.108700976798935,0.0327578086068332,0.163789043034166
LPE 20_4 sn-1,saddlebrown,0.936639964323383,0.463174597772976,M27-LPE 20_4 sn-1,-0.0585037375966701,0.249671784434552,0.524020163848563,-0.0656601416589535,0.198016648818877,0.431968861466019
LPE 20_3,paleturquoise,0.830232369040513,0.212316623783342,M22-LPE 20_3,0.130254175661063,0.0101197230987099,0.0469844286725816,0.124667533513075,0.0142478324614724,0.0958043906892113
LPC P-18_1,skyblue,0.897273043228968,0.346169704200207,M30-LPC P-18_1,-0.183394893963591,0.000276517241602236,0.00199706896712726,-0.0941617116863969,0.0645889906194714,0.23763873907164
LPC O-18_1,white,0.863299311635184,0.239796255893222,M34-LPC O-18_1,-0.223992340470402,8.18054665702363e-06,0.000106347106541307,-0.176989127964124,0.000476506229975463,0.00774322623710128
LPC P-18_0,skyblue,0.925702749015288,0.421640782826845,M30-LPC P-18_0,-0.22312041917489,8.88829200358227e-06,0.000108326058793659,-0.0911143373286604,0.0737715149109335,0.256699046106847
LPC 17_0,violet,0.856265688548504,0.166977330458739,M33-LPC 17_0,-0.129017441843147,0.0108626540918949,0.0481413079072616,0.0159149572268643,0.75527995528419,0.886735932672512
LPC O-18_0,white,0.912827738563953,0.363265279634555,M34-LPC O-18_0,-0.12128563847297,0.0166989533252079,0.06928289145565,-0.056770977529233,0.265857519873369,0.529002207911295
LPC 18_3 sn-1,blue,0.885937586290661,1.76027988336487,M2-LPC 18_3 sn-1,-0.080057746184917,0.114925493496133,0.298806283089947,-0.069309612949075,0.174166803023013,0.406777421214541
LPC 18_3 sn-2,blue,0.727189481348293,0.772288104480755,M2-LPC 18_3 sn-2,0.00691747332226461,0.89182407536831,0.951646206828529,-0.0275185405170586,0.58988534420438,0.796661049643001
LPC 18_2 sn-1,magenta,0.777932262348661,0.812585099153472,M19-LPC 18_2 sn-1,-0.138476472984246,0.00622695359971798,0.0311347679985899,-0.0551046361769109,0.280167175903643,0.540916824764459
LPC 18_2 sn-2,magenta,0.769114719958748,0.773605856527229,M19-LPC 18_2 sn-2,-0.196020424408535,9.96251184171595e-05,0.000844647743102004,-0.1101562040305,0.0304800132835563,0.159018385816116
