,module,kME,kIN,rename,HbA1C_estimate,HbA1C_p.value,HbA1C_p.adjust,HbA1C.adj.partial_estimate,HbA1C.adj.partial_p.value,HbA1C.adj.partial_p.adjust
LPC 18_2 sn-2,magenta,0.836526375307805,1.10895913024156,M18-LPC 18_2 sn-2,-0.0247290196826103,0.804175313689028,0.932126283769128,-0.0330673613822981,0.743966234038807,0.918186174921312
LPC 18_1 sn-2,black,0.866028625458265,1.05936363275774,M1-LPC 18_1 sn-2,0.0303332365207441,0.76100472196234,0.932126283769128,0.0279635908769122,0.78241427299402,0.921548274337534
LPC 18_1 sn-1,black,0.91496548215414,1.29624087109784,M1-LPC 18_1 sn-1,0.0755853606950666,0.447952991987227,0.895130673470853,0.0737544789646071,0.465838908683784,0.878574733048664
LPC 18_0 sn-2,green,0.850267635247579,0.975363500559953,M12-LPC 18_0 sn-2,0.111076898961716,0.263989995586124,0.895130673470853,0.119472547400033,0.236432530230455,0.878574733048664
LPC 18_0 sn-1,green,0.878802314365869,1.06356294656312,M12-LPC 18_0 sn-1,0.150724806297905,0.12858207927165,0.895130673470853,0.16289103363659,0.105390168352168,0.878574733048664
LPE 22_6 sn-1,brown,0.846016442492059,1.68720349598178,M3-LPE 22_6 sn-1,-0.020798360721483,0.834817674557485,0.935841849995109,-0.0151540912533792,0.881045299033093,0.965190074783444
LPE 22_4 sn-1,salmon,0.865918063714771,0.732763738833617,M27-LPE 22_4 sn-1,0.0403030171630432,0.686063194208115,0.932126283769128,0.0466073579732896,0.645183030797973,0.87871367030389
LPC 20_5,lightgreen,0.845433317489627,0.59377354913725,M16-LPC 20_5,0.0257915087295256,0.795941012078696,0.932126283769128,0.0311133323229335,0.758618069610564,0.920822519742007
LPC 20_4 sn-1,salmon,0.825270362036638,0.568185020953663,M27-LPC 20_4 sn-1,0.0657201774200805,0.50953592182187,0.895130673470853,0.0640858781829055,0.526437707444504,0.87871367030389
LPC 20_3 sn-1,darkmagenta,0.936010868799358,0.354512278205642,M7-LPC 20_3 sn-1,0.054434671999477,0.584987229768852,0.89789335071078,0.0550409176951841,0.586509089261753,0.87871367030389
